cityLabel,population,countryLabel,gps,longitude,latitude
Boston,655884,United States of America,Point(-71.061666666 42.357777777),-71.06,42.36
Hwaseong,655350,South Korea,Point(126.766666666 37.2),126.77,37.20
Kryvyi Rih,654900,Ukraine,Point(33.25 47.916667),33.25,47.92
Durango,654876,Mexico,Point(-104.654444444 24.022777777),-104.65,24.02
Bulawayo,653337,Zimbabwe,Point(28.566666666 -20.166666666),28.57,-20.17
Jeonju,653055,South Korea,Point(127.148888888 35.821944444),127.15,35.82
Pontianak,651598,Indonesia,Point(109.333333333 0.0),109.33,0.00
Pontianak,651139,Indonesia,Point(109.333333333 0.0),109.33,0.00
Denver,649495,United States of America,Point(-104.984722222 39.739166666),-104.98,39.74
El Paso,649133,United States of America,Point(-106.423333333 31.790277777),-106.42,31.79
Asmara,649000,Eritrea,Point(38.916666666 15.333333333),38.92,15.33
Memphis,646889,United States of America,Point(-89.971111111 35.1175),-89.97,35.12
Izhevsk,646277,Russia,Point(53.216666666 56.85),53.22,56.85
Sorocaba,644919,Brazil,Point(-47.457777777 -23.501944444),-47.46,-23.50
Yurimaguas,644547,Peru,Point(-76.083333333 -5.9),-76.08,-5.90
Rasht,639951,Iran,Point(49.6 37.283333333),49.60,37.28
Petaling Jaya,638516,Malaysia,Point(101.608333333 3.106666666),101.61,3.11
Kuwait City,637411,Kuwait,Point(47.98 29.375),47.98,29.38
Ipoh,637000,Malaysia,Point(101.07 4.6),101.07,4.60
Banjarmasin,635688,Indonesia,Point(114.583333333 -3.333333333),114.58,-3.33
Oslo,634463,Norway,Point(10.752777777 59.911111111),10.75,59.91
Wrocław,634404,Poland,Point(17.03533 51.10773),17.04,51.11
Barnaul,633301,Russia,Point(83.787222222 53.356666666),83.79,53.36
Funabashi,631973,Japan,Point(139.9825 35.694722222),139.98,35.69
Benghazi,631555,Libya,Point(20.066666666 32.116666666),20.07,32.12
Vancouver,631486,Canada,Point(-123.1 49.25),-123.10,49.25
Rotterdam,631155,Netherlands,Point(4.479166666 51.930833333),4.48,51.93
Al Ain,631005,United Arab Emirates,Point(55.744722222 24.2075),55.74,24.21
Cheonan,629062,South Korea,Point(127.152222222 36.806388888),127.15,36.81
Namyangju,629061,South Korea,Point(127.214166666 37.636666666),127.21,37.64
Cancún,628306,Mexico,Point(-86.8475 21.160555555),-86.85,21.16
Stuttgart,628032,Germany,Point(9.1775 48.776111111),9.18,48.78
Bhilai,625700,India,Point(81.716666666 21.366666666),81.72,21.37
Ulyanovsk,624518,Russia,Point(48.366666666 54.316666666),48.37,54.32
Djibouti,623891,Djibouti,Point(43.148055555 11.595),43.15,11.60
Mangalore,623841,India,Point(74.880555555 12.870277777),74.88,12.87
Irkutsk,623736,Russia,Point(104.3 52.283333333),104.30,52.28
Turpan,622903,People's Republic of China,Point(89.17918 42.94513),89.18,42.95
Baltimore,622104,United States of America,Point(-76.615 39.286388888),-76.62,39.29
Helsinki,620982,Finland,Point(24.948611111 60.173333333),24.95,60.17
Valenzuela,620422,Philippines,Point(120.983333333 14.7),120.98,14.70
Helwan,619293,Egypt,Point(31.334166666 29.841944444),31.33,29.84
Khabarovsk,616242,Russia,Point(135.066666666 48.483333333),135.07,48.48
Hamhung,614198,North Korea,Point(127.533333333 39.916666666),127.53,39.92
Buraidah,614093,Saudi Arabia,Point(43.966666666 26.333333333),43.97,26.33
Serang,613356,Indonesia,Point(106.150277777 -6.12),106.15,-6.12
Düsseldorf,613230,Germany,Point(6.816666666 51.216666666),6.82,51.22
Tirana,610050,Albania,Point(19.82 41.33),19.82,41.33
Seattle,608660,United States of America,Point(-122.316666666 47.6),-122.32,47.60
Yaroslavl,608079,Russia,Point(39.85 57.616666666),39.85,57.62
Kuantan,607778,Malaysia,Point(103.333333333 3.816666666),103.33,3.82
Vladivostok,606589,Russia,Point(131.9 43.116666666),131.90,43.12
Cuttack,606007,India,Point(85.866666666 20.45),85.87,20.45
Uberlândia,604013,Brazil,Point(-48.276944444 -18.918888888),-48.28,-18.92
Zagazig,602840,Egypt,Point(31.5 30.566666666),31.50,30.57
Sargodha,602631,Pakistan,Point(72.671111111 32.083611111),72.67,32.08
Copenhagen,602481,Denmark,Point(12.568888888 55.676111111),12.57,55.68
Jambi,602187,Indonesia,Point(103.61 -1.59),103.61,-1.59
Kochi,601574,India,Point(76.283333333 9.966666666),76.28,9.97
Bacoor,600609,Philippines,Point(120.95 14.45),120.95,14.45
Milwaukee,600155,United States of America,Point(-87.95 43.05),-87.95,43.05
Chamdo,598862,People's Republic of China,Point(97.17767 31.13749),97.18,31.14
Glasgow,598830,United Kingdom,Point(-4.27 55.87),-4.27,55.87
Balikpapan,598043,Indonesia,Point(116.903055555 -1.148888888),116.90,-1.15
Kagoshima,597932,Japan,Point(130.557222222 31.596666666),130.56,31.60
Balikpapan,597625,Indonesia,Point(116.903055555 -1.148888888),116.90,-1.15
Ta'izz,596672,Yemen,Point(44.021944444 13.578888888),44.02,13.58
Durban,595061,South Africa,Point(31.025 -29.858333333),31.03,-29.86
General Santos,594446,Philippines,Point(125.166666666 6.116666666),125.17,6.12
Brampton,593638,Canada,Point(-79.766666666 43.683333333),-79.77,43.68
Makhachkala,592976,Russia,Point(47.483333333 42.983333333),47.48,42.98
Oklahoma City,591967,United States of America,Point(-97.5352 35.4823),-97.54,35.48
Essen,590194,Germany,Point(7.013055555 51.450833333),7.01,51.45
Turpan,589609,People's Republic of China,Point(89.17918 42.94513),89.18,42.95
Las Piñas,588894,Philippines,Point(120.983333333 14.45),120.98,14.45
Dortmund,585813,Germany,Point(7.465277777 51.513888888),7.47,51.51
Anyang,585177,South Korea,Point(126.926944444 37.3925),126.93,37.39
Kawaguchi,584825,Japan,Point(139.724166666 35.807777777),139.72,35.81
Shah Alam,584340,Malaysia,Point(101.533333333 3.083333333),101.53,3.08
Portland,583776,United States of America,Point(-122.666666666 45.516666666),-122.67,45.52
Las Vegas,583756,United States of America,Point(-115.144722222 36.169166666),-115.14,36.17
Genoa,583601,Italy,Point(8.933983333 44.407186111),8.93,44.41
Makati,582602,Philippines,Point(121.033333333 14.55),121.03,14.55
Dehradun,578420,India,Point(78.029 30.318),78.03,30.32
Hachiōji,578270,Japan,Point(139.316666666 35.666666666),139.32,35.67
Rabat,577827,Morocco,Point(-6.836111111 34.025277777),-6.84,34.03
Chiclayo,574408,Peru,Point(-79.836613888 -6.762961111),-79.84,-6.76
San Jose del Monte,574089,Philippines,Point(121.045277777 14.813888888),121.05,14.81
Kerman,573449,Iran,Point(57.066666666 30.283333333),57.07,30.28
Tomsk,572740,Russia,Point(84.952222222 56.488611111),84.95,56.49
Leipzig,571088,Germany,Point(12.383333333 51.333333333),12.38,51.33
Málaga,569002,Spain,Point(-4.416666666 36.716666666),-4.42,36.72
San Salvador,567698,El Salvador,Point(-89.19 13.69),-89.19,13.69
Macau,566375,People's Republic of China,Point(113.55 22.166666666),113.55,22.17
Bremen,565719,Germany,Point(8.808888888 53.076944444),8.81,53.08
Bremen,565719,Germany,Point(8.79063 53.08891),8.79,53.09
Orenburg,564443,Russia,Point(55.1 51.766666666),55.10,51.77
Asansol,563917,India,Point(86.966666666 23.683333333),86.97,23.68
Bacolod,561875,Philippines,Point(122.95 10.666666666),122.95,10.67
Zahedan,560725,Iran,Point(60.866666666 29.483333333),60.87,29.48
Albuquerque,559277,United States of America,Point(-106.616666666 35.116666666),-106.62,35.12
Kemerovo,556920,Russia,Point(86.066666666 55.333333333),86.07,55.33
Tuxtla Gutiérrez,553374,Mexico,Point(-93.115555555 16.753055555),-93.12,16.75
Novokuznetsk,552445,Russia,Point(87.116666666 53.75),87.12,53.75
Surakarta,552118,Indonesia,Point(110.816666666 -7.566666666),110.82,-7.57
Turpan,550731,People's Republic of China,Point(89.17918 42.94513),89.18,42.95
Eslamshahr,548620,Iran,Point(51.2 35.533333333),51.20,35.53
Al Hudaydah,548433,Yemen,Point(42.951111111 14.802222222),42.95,14.80
Dresden,547172,Germany,Point(13.733333333 51.033333333),13.73,51.03
Lisbon,545245,Portugal,Point(-9.166666666 38.716666666),-9.17,38.72
Poznań,544612,Poland,Point(16.916666666 52.4),16.92,52.40
Nasiriyah,541600,Iraq,Point(46.250277777 31.053888888),46.25,31.05
Ashgabat,540600,Turkmenistan,Point(58.383333333 37.95),58.38,37.95
Sekondi-Takoradi,539548,Ghana,Point(-1.766666666 4.916666666),-1.77,4.92
Ryazan,537622,Russia,Point(39.716666666 54.616666666),39.72,54.62
Hamilton,536917,Canada,Point(-79.866666666 43.25),-79.87,43.25
Chongqing,535000,People's Republic of China,Point(106.506944444 29.55),106.51,29.55
Aba,534265,Nigeria,Point(7.366666666 5.116666666),7.37,5.12
Gimhae,534124,South Korea,Point(128.881111111 35.234166666),128.88,35.23
Himeji,532994,Japan,Point(134.683333333 34.816666666),134.68,34.82
Hanover,532864,Germany,Point(9.738611111 52.374444444),9.74,52.37
Vilnius,532762,Lithuania,Point(25.283333333 54.683333333),25.28,54.68
Astrakhan,532504,Russia,Point(48.016666666 46.333333333),48.02,46.33
Quebec City,531902,Canada,Point(-71.224167 46.816111),-71.22,46.82
Naberezhnye Chelny,529797,Russia,Point(52.333333333 55.7),52.33,55.70
Bikaner,529007,India,Point(73.316944444 28.018055555),73.32,28.02
Chongqing,528000,People's Republic of China,Point(106.506944444 29.55),106.51,29.55
Dublin,527612,Ireland,Point(-6.265833333 53.3425),-6.27,53.34
San Miguel de Tucumán,527607,Argentina,Point(-65.216666666 -26.816666666),-65.22,-26.82
Gomel,527172,Belarus,Point(30.983333333 52.441666666),30.98,52.44
Hamadan,525794,Iran,Point(48.516666666 34.8),48.52,34.80
Port Said,524433,Egypt,Point(32.283333333 31.25),32.28,31.25
Asunción,524190,Paraguay,Point(-57.633333333 -25.3),-57.63,-25.30
Penza,523726,Russia,Point(45.0 53.2),45.00,53.20
Agartala,522613,India,Point(91.266666666 23.833333333),91.27,23.83
Tultitlán de Mariano Escobedo,520557,Mexico,Point(-99.169444444 19.645),-99.17,19.65
Tultitlán de Mariano Escobedo,520557,Mexico,Point(-99.16796 19.64756),-99.17,19.65
Meknes,520428,Morocco,Point(-5.55 33.883333333),-5.55,33.88
Pohang,520305,South Korea,Point(129.365 36.032222222),129.37,36.03
Manchester,520215,United Kingdom,Point(-2.233333333 53.466666666),-2.23,53.47
Utsunomiya,520197,Japan,Point(139.883333333 36.55),139.88,36.55
Tucson,520116,United States of America,Point(-110.926388888 32.221666666),-110.93,32.22
Sheffield,518090,United Kingdom,Point(-1.471944444 53.3825),-1.47,53.38
Surrey,517887,Canada,Point(-122.85 49.1833),-122.85,49.18
Gaza City,515556,State of Palestine,Point(34.45 31.516666666),34.45,31.52
Ujjain,515215,India,Point(75.777222222 23.182777777),75.78,23.18
Siliguri,513264,India,Point(88.683333333 27.2),88.68,27.20
Cimahi,513176,Indonesia,Point(107.533333333 -6.883333333),107.53,-6.88
Matsuyama,512604,Japan,Point(132.76574 33.83916),132.77,33.84
Matsuyama,512604,Japan,Point(132.766666666 33.833333333),132.77,33.83
Nuremberg,511628,Germany,Point(11.077777777 49.452777777),11.08,49.45
Amarah,511500,Iraq,Point(47.15 31.833333333),47.15,31.83
Carrefour,511345,Haiti,Point(-72.4 18.53333),-72.40,18.53
Lipetsk,510439,Russia,Point(39.6 52.616666666),39.60,52.62
Aden,507355,Yemen,Point(45.033333333 12.8),45.03,12.80
Jhansi,507000,India,Point(78.56962 25.44862),78.57,25.45
Skopje,506926,Republic of Macedonia,Point(21.433333333 41.983333333),21.43,41.98
Ulhasnagar,506098,India,Point(73.15 19.216666666),73.15,19.22
Muntinlupa,504509,Philippines,Point(121.05 14.383333333),121.05,14.38
Samarkand,504423,Uzbekistan,Point(66.959722222 39.654166666),66.96,39.65
Kitwe,504194,Zambia,Point(28.211944444 -12.820833333),28.21,-12.82
Jammu,502197,India,Point(74.85 32.733333333),74.85,32.73
Ife,501952,Nigeria,Point(4.566666666 7.466666666),4.57,7.47
Kirov,501468,Russia,Point(49.65 58.6),49.65,58.60
Karaganda,501129,Kazakhstan,Point(73.116666666 49.8),73.12,49.80
Ctesiphon,500000,Iraq,Point(44.580833 33.093611),44.58,33.09
Quetzaltenango,500000,Guatemala,Point(-91.516666666 14.833333333),-91.52,14.83
6th of October City,500000,Egypt,Point(30.926944444 29.936111111),30.93,29.94
Mawlamyine,500000,Myanmar,Point(97.625833333 16.484722222),97.63,16.48
Duisburg,499845,Germany,Point(6.761111111 51.432222222),6.76,51.43
Mykolaiv,498748,Ukraine,Point(32.0 46.966666666),32.00,46.97
Higashiōsaka,498099,Japan,Point(135.600833333 34.679444444),135.60,34.68
Johor Bahru,497097,Malaysia,Point(103.733333333 1.483333333),103.73,1.48
Niterói,496696,Brazil,Point(-43.103611111 -22.883333333),-43.10,-22.88
Fresno,494665,United States of America,Point(-119.792222222 36.781666666),-119.79,36.78
Telemcan,494252,Morocco,Point(-1.911388888 34.686666666),-1.91,34.69
Kandahar,491500,Afghanistan,Point(65.705277777 31.607777777),65.71,31.61
Ichikawa,489696,Japan,Point(139.931111111 35.721944444),139.93,35.72
Cheboksary,489498,Russia,Point(47.25 56.133333333),47.25,56.13
Port Sudan,489275,Sudan,Point(37.216388888 19.615833333),37.22,19.62
Nishinomiya,488398,Japan,Point(135.333333333 34.733333333),135.33,34.73
Matsudo,488187,Japan,Point(139.903055555 35.787777777),139.90,35.79
Belgaum,488157,India,Point(74.5 15.866666666),74.50,15.87
Mykolaiv,487996,Ukraine,Point(32.0 46.966666666),32.00,46.97
Ensenada,486639,Mexico,Point(-116.605833333 31.857777777),-116.61,31.86
Yazd,486152,Iran,Point(54.367777777 31.897222222),54.37,31.90
Suez,485342,Egypt,Point(32.533333333 29.966666666),32.53,29.97
Tula,485221,Russia,Point(37.616666666 54.2),37.62,54.20
Sacramento,485199,United States of America,Point(-121.486111111 38.575277777),-121.49,38.58
Arak,484212,Iran,Point(49.7 34.08),49.70,34.08
Ardabil,482632,Iran,Point(48.3 38.25),48.30,38.25
Ōita,478537,Japan,Point(131.606666666 33.233333333),131.61,33.23
Nampula,477900,Mozambique,Point(39.266666666 -15.116666666),39.27,-15.12
Piura,477801,Peru,Point(-80.625277777 -5.200833333),-80.63,-5.20
Florianópolis,477798,Brazil,Point(-48.553047222 -27.593280555),-48.55,-27.59
Chiniot,477781,Pakistan,Point(72.983333333 31.716666666),72.98,31.72
Kurashiki,477181,Japan,Point(133.771944444 34.585),133.77,34.59
Wuhai,477000,People's Republic of China,Point(106.811388888 39.670833333),106.81,39.67
Samarkand,476929,Uzbekistan,Point(66.959722222 39.654166666),66.96,39.65
Sukkur,476776,Pakistan,Point(68.867286111 27.699522222),68.87,27.70
Vila Velha,472762,Brazil,Point(-40.293611111 -20.336388888),-40.29,-20.34
San Juan,471389,Argentina,Point(-68.536388888 -31.5375),-68.54,-31.54
Baqubah,467900,Iraq,Point(44.643611111 33.744722222),44.64,33.74
Kaliningrad,467289,Russia,Point(20.5 54.716666666),20.50,54.72
Tamale,466723,Ghana,Point(-0.853333333 9.4075),-0.85,9.41
Liverpool,466415,United Kingdom,Point(-3.0 53.416666666),-3.00,53.42
Kanazawa,466031,Japan,Point(136.65 36.566666666),136.65,36.57
Edinburgh,464990,United Kingdom,Point(-3.198888888 55.95),-3.20,55.95
Lhasa,464736,People's Republic of China,Point(91.1 29.65),91.10,29.65
Leicester,464395,United Kingdom,Point(-1.133333333 52.633333333),-1.13,52.63
Fukuyama,463618,Japan,Point(133.3625 34.485833333),133.36,34.49
Long Beach,462257,United States of America,Point(-118.1956168 33.768321),-118.20,33.77
Gdańsk,462249,Poland,Point(18.633333333 54.366666666),18.63,54.37
Manado,461636,Indonesia,Point(124.841261111 1.493055555),124.84,1.49
Jalgaon,460468,India,Point(75.566666666 21.016666666),75.57,21.02
Kansas City,459787,United States of America,Point(-94.583333333 39.05),-94.58,39.05
Pyeongtaek,457873,South Korea,Point(127.088888888 36.994722222),127.09,36.99
Ramadi,456853,Iraq,Point(43.3 33.416666666),43.30,33.42
Malacca City,455300,Malaysia,Point(102.251111111 2.188888888),102.25,2.19
Ndola,455194,Zambia,Point(28.6337 -12.968269444),28.63,-12.97
Calamba,454486,Philippines,Point(121.166666666 14.216666666),121.17,14.22
Mauá,453286,Brazil,Point(-46.460833333 -23.667777777),-46.46,-23.67
Kota Kinabalu,452058,Malaysia,Point(116.095277777 5.971388888),116.10,5.97
Amagasaki,451000,Japan,Point(135.41667 34.71667),135.42,34.72
Amagasaki,451000,Japan,Point(135.4 34.733333333),135.40,34.73
Balashikha,450771,Russia,Point(37.95 55.8),37.95,55.80
Marikina,450741,Philippines,Point(121.1 14.65),121.10,14.65
Vung Tau,450000,Vietnam,Point(107.141666666 10.404166666),107.14,10.40
Mariupol,449498,Ukraine,Point(37.563888888 47.130555555),37.56,47.13
Mariupol,449498,Russian Empire,Point(37.563888888 47.130555555),37.56,47.13
Kursk,449063,Russia,Point(36.183333333 51.716666666),36.18,51.72
Virginia Beach,448479,United States of America,Point(-75.9779 36.8506),-75.98,36.85
Rajshahi,448087,Bangladesh,Point(88.6 24.366666666),88.60,24.37
Iloilo City,447992,Philippines,Point(122.566666666 10.716666666),122.57,10.72
Atlanta,447841,United States of America,Point(-84.390277777 33.756944444),-84.39,33.76
Tallinn,446055,Estonia,Point(24.745 59.437222222),24.75,59.44
Santiago de Cuba,444851,Cuba,Point(-75.820555555 20.028333333),-75.82,20.03
Murcia,443243,Spain,Point(-1.130277777 37.986111111),-1.13,37.99
San Nicolás de los Garza,443031,Mexico,Point(-100.28333333 25.75),-100.28,25.75
El-Mahalla El-Kubra,442958,Egypt,Point(31.166666666 30.966666666),31.17,30.97
Constantine,442862,Algeria,Point(6.614722222 36.365),6.61,36.37
São José do Rio Preto,442548,Brazil,Point(-49.378888888 -20.82),-49.38,-20.82
Bristol,442500,United Kingdom,Point(-2.583333333 51.45),-2.58,51.45
Raleigh,439896,United States of America,Point(-78.644722222 35.818888888),-78.64,35.82
Mansoura,439348,Egypt,Point(31.383333333 31.05),31.38,31.05
Mesa,439041,United States of America,Point(-111.831388888 33.415),-111.83,33.42
Chongqing,437600,People's Republic of China,Point(106.506944444 29.55),106.51,29.55
Herat,436300,Afghanistan,Point(62.179180555 34.37385),62.18,34.37
Beira,436240,Mozambique,Point(34.85 -19.833333333),34.85,-19.83
Larkana,435817,Pakistan,Point(68.226388888 27.56),68.23,27.56
Bandar Abbas,435751,Iran,Point(56.25 27.2),56.25,27.20
Jeju,435413,South Korea,Point(126.521944444 33.509722222),126.52,33.51
Cusco,435114,Peru,Point(-71.978056 -13.518333),-71.98,-13.52
Machida,434419,Japan,Point(139.446666666 35.548611111),139.45,35.55
Kupang,433970,Indonesia,Point(123.583333333 -10.183333333),123.58,-10.18
Santos,433966,Brazil,Point(-46.333888888 -23.960833333),-46.33,-23.96
Stavropol,433577,Russia,Point(41.983333333 45.05),41.98,45.05
Zanjan,433475,Iran,Point(48.483333333 36.666666666),48.48,36.67
Tel Aviv,432892,Israel,Point(34.8 32.083333333),34.80,32.08
Ulan-Ude,431922,Russia,Point(107.616666666 51.833333333),107.62,51.83
Kozhikode,431560,India,Point(75.766666666 11.25),75.77,11.25
Kenitra,431282,Morocco,Point(-6.583333333 34.25),-6.58,34.25
Tanta,429503,Egypt,Point(31.0 30.783333333),31.00,30.78
Fujisawa,428837,Japan,Point(139.491388888 35.339166666),139.49,35.34
Sevastopol,428753,Russia,Point(33.533333333 44.6),33.53,44.60
Anchorage, 291826, USA, ,-149.9, 61.216667
Nuuk, 17316, Greenland, ,-51.739,64.175
McMurdo, , , , 166.668235, -77.846323
North Pole, , , , 0, 90
South Pole, , , , 0, -90
Vostok, , , , 106.83757, -78.463889
Dunedin, , , , 170.5, -45.866667
Christchurch, , , , 172.620278, -43.53
Blenheim, , , ,173.96, -41.514
Port Moresby, , , , 147.218806, -9.513639
Cairns, , , , 145.770278, -16.930278
Darwin, , , , 130.833333, -12.45
Ushuaia, , , ,  -68.303056, -54.801944
